station_1,station_2,s1_strip,s2_strip,trains,geometry_x,city1,geometry_y,city2,dist
Anda Railway Station,Haerbin Railway Station,anda,haerbin,112,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (14095719.606631186 5741594.730499727 0),haerbin,0.17852998392697822
Anda Railway Station,Haerbin Railway Station,anda,haerbin,112,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (14085269.24397349 5756055.054812817 0),haerbin,0.16174720868522593
Anda Railway Station,Haerbin Railway Station,anda,haerbin,112,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (14089960.806918606 5733174.4947545845 0),haerbin,0.17898741094538165
Anda Railway Station,Daqingdong Railway Station,anda,daqing,378,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (13901461.981958764 5886018.189908734 0),daqing,0.0637138679368485
Anda Railway Station,Daqingdong Railway Station,anda,daqing,378,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (13927881.406541143 5865785.200653449 0),daqing,0.03052577303281213
Anda Railway Station,Zhaodong Railway Station,anda,zhao,154,POINT Z (13950023.085249742 5844771.660180318 0),anda,POINT Z (14025491.36481536 5792435.35793435 0),zhao,0.09183980484177605
Anluxi Railway Station,Hankou Railway Station,anlu,hankou,99,POINT Z (12655922.034147816 3666418.4220910706 0),anlu,POINT Z (12718234.237212313 3583674.815616224 0),hankou,0.10358240711247955
Anluxi Railway Station,Xiangyangdong Railway Station,anlu,xiangyang,35,POINT Z (12655922.034147816 3666418.4220910706 0),anlu,POINT Z (12484497.973662259 3771095.699993821 0),xiangyang,0.20085701636359488
Anluxi Railway Station,Xiangyangdong Railway Station,anlu,xiangyang,35,POINT Z (12655922.034147816 3666418.4220910706 0),anlu,POINT Z (12492304.313400622 3776357.1652474827 0),xiangyang,0.19712251466871586
Anluxi Railway Station,Yunmengdong Railway Station,anlu,yunmeng,329,POINT Z (12655922.034147816 3666418.4220910706 0),anlu,POINT Z (12660642.008832598 3635862.586385967 0),yunmeng,0.030918235018549407
