,station_1,station_2,s1_strip,s2_strip,trains,geometry_x,city1,geometry_y,city2,dist_x,pop1,pop2
0,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12854504.011604475 4701916.527166551 0),baoding,POINT Z (12743638.45631382 4580781.525056799 0),shijiazhuang,164.20980508494233,295615,1124251
1,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12854504.011604475 4701916.527166551 0),baoding,POINT Z (12741543.877569288 4588703.974693158 0),shijiazhuang,159.92833994882898,295615,1124251
2,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12854504.011604475 4701916.527166551 0),baoding,POINT Z (12730413.080312736 4589844.595991859 0),shijiazhuang,167.20848359480993,295615,1124251
3,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12868141.961683458 4702123.238325208 0),baoding,POINT Z (12743638.45631382 4580781.525056799 0),shijiazhuang,173.85319734833803,295615,1124251
4,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12868141.961683458 4702123.238325208 0),baoding,POINT Z (12741543.877569288 4588703.974693158 0),shijiazhuang,169.97353989434652,295615,1124251
5,Baodingdong Railway Station,Shijiazhuang Railway Station,baoding,shijiazhuang,5424,POINT Z (12868141.961683458 4702123.238325208 0),baoding,POINT Z (12730413.080312736 4589844.595991859 0),shijiazhuang,177.69563384577123,295615,1124251
6,Cangzhouxi Railway Station,Langfang Railway Station,cangzhou,langfang,343,POINT Z (12997764.072270298 4622659.348840975 0),cangzhou,POINT Z (12991303.00998782 4794905.9787270315 0),langfang,172.36776622362467,63045,30051058
7,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13950269.431386689 5451404.499799183 0),changchun,POINT Z (13736830.159574749 5111054.63839367 0),shenyang,401.7391578006338,295684,1856331
8,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13950269.431386689 5451404.499799183 0),changchun,POINT Z (13740069.758467756 5133636.519699833 0),shenyang,380.99920166799126,295684,1856331
9,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13950269.431386689 5451404.499799183 0),changchun,POINT Z (13735475.647499198 5129912.210218164 0),shenyang,386.64410231730096,295684,1856331
10,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13936456.989453055 5446180.397860233 0),changchun,POINT Z (13736830.159574749 5111054.63839367 0),shenyang,390.0771024621957,295684,1856331
11,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13936456.989453055 5446180.397860233 0),changchun,POINT Z (13740069.758467756 5133636.519699833 0),shenyang,369.1227712694188,295684,1856331
12,Changchun Railway Station,Shenyangbei Railway Station,changchun,shenyang,598,POINT Z (13936456.989453055 5446180.397860233 0),changchun,POINT Z (13735475.647499198 5129912.210218164 0),shenyang,374.7253211726849,295684,1856331
13,Changchun Railway Station,Sipingdong Railway Station,changchun,siping,2812,POINT Z (13950269.431386689 5451404.499799183 0),changchun,POINT Z (13851832.383990047 5332550.265102123 0),siping,154.32492153113944,295684,334864
